Condition,Model,Batch_ID,Regime,Rows,MAE,RMSE,R2
Normal,Normal-only HGB,1,Recipe,1130,1.4485191346652426,1.77587934008937,0.9704122153217405
Normal,Normal-only HGB,2,Recipe,1150,0.7650570053350432,1.1164873068517918,0.9890974248418918
Normal,Normal-only HGB,3,Recipe,1390,2.450712379299903,3.8104431640376513,0.8190192584920759
Normal,Normal-only HGB,4,Recipe,1150,1.0904505474316568,1.88558944978165,0.9413730392281207
Normal,Normal-only HGB,5,Recipe,895,0.2416178013868227,0.3288071152422183,0.9988047123260625
Normal,Normal-only HGB,6,Recipe,1150,3.209790071695912,4.725153711143355,0.5552150619703293
Normal,Normal-only HGB,7,Recipe,1160,2.4019353838099913,2.8662068233979574,0.9282809157458218
Normal,Normal-only HGB,8,Recipe,1150,1.9770647066050246,2.4032907423253085,0.9597303167846366
Normal,Normal-only HGB,9,Recipe,1260,3.505235047077844,4.230294499526758,0.16834630760862712
Normal,Normal-only HGB,10,Recipe,1150,0.6452328944089124,1.161291381333614,0.9788513064504615
Normal,Normal-only HGB,11,Recipe,1010,1.6845661953408977,2.1099313831925137,0.9646728676718495
Normal,Normal-only HGB,12,Recipe,1150,0.7656084751957555,0.979556283525516,0.990727172515682
Normal,Normal-only HGB,13,Recipe,1080,0.888642507483377,1.1810640735842346,0.98725293249713
Normal,Normal-only HGB,14,Recipe,1150,0.8172722537335299,1.1497494655722762,0.9866064600061388
Normal,Normal-only HGB,15,Recipe,905,0.28395330641329264,0.39031954488219806,0.9983311296767949
Normal,Normal-only HGB,16,Recipe,1150,0.6341290115096253,0.8056076597110099,0.9946648128951738
Normal,Normal-only HGB,17,Recipe,940,0.3969877395233938,0.569629591157225,0.9959479694421582
Normal,Normal-only HGB,18,Recipe,1150,2.4341210619093068,3.2962753555142306,0.6730542127041226
Normal,Normal-only HGB,19,Recipe,1035,0.6687270470158393,1.0150187579721368,0.9853429665007861
Normal,Normal-only HGB,20,Recipe,1150,0.9626304251595454,1.2969179170293768,0.9839579417606062
Normal,Normal-only HGB,21,Recipe,1140,1.7982315729143301,3.3463481938686357,0.8779274084810691
Normal,Normal-only HGB,22,Recipe,1150,0.7674615252447733,0.9597683051959806,0.9927115377603052
Normal,Normal-only HGB,23,Recipe,1320,1.6997291272666781,2.028381508886516,0.9730860129676152
Normal,Normal-only HGB,24,Recipe,1150,0.9993601757744974,1.8917559004209363,0.9460870889751073
Normal,Normal-only HGB,25,Recipe,1305,2.036745171648108,2.8465711302066072,0.8441828988388581
Normal,Normal-only HGB,26,Recipe,1150,0.4671540292068017,0.6287193338457386,0.9965401538047548
Normal,Normal-only HGB,27,Recipe,1055,1.9871176457578568,2.4353395804106412,0.927987361778858
Normal,Normal-only HGB,28,Recipe,1150,0.9112861791377395,1.4915574962791136,0.9718845033426534
Normal,Normal-only HGB,29,Recipe,1450,2.0704658012862485,2.5692671090611086,0.9593787838210077
Normal,Normal-only HGB,30,Recipe,1150,0.8069865798679552,1.2376678271908472,0.9529234731021001
Normal,Normal-only HGB,31,Operator,1250,2.042852798679548,2.5645737386718483,0.9571556566680669
Normal,Normal-only HGB,32,Operator,1150,1.150783108685208,1.5060553352296646,0.9815310698485357
Normal,Normal-only HGB,33,Operator,1300,1.7442348079451666,2.7076832766845684,0.8781402216628953
Normal,Normal-only HGB,34,Operator,1150,1.2466788299169165,1.8141158851296668,0.9409347680498477
Normal,Normal-only HGB,35,Operator,980,0.4401070159373443,0.5710528617991066,0.996319923374068
Normal,Normal-only HGB,36,Operator,1150,1.0713012586489457,1.9329298848894225,0.9279125992728966
Normal,Normal-only HGB,37,Operator,1050,0.9029183719350362,1.552927983606996,0.9681729507151103
Normal,Normal-only HGB,38,Operator,1150,0.46608925998228684,0.8005337676135632,0.9932698442345931
Normal,Normal-only HGB,39,Operator,1175,0.8253036102801183,1.4363062798095636,0.9817473998197247
Normal,Normal-only HGB,40,Operator,1150,0.883178996579275,1.313574987126425,0.9750656553233145
Normal,Normal-only HGB,41,Operator,1215,1.7065315904829634,2.024095900776492,0.96215903271625
Normal,Normal-only HGB,42,Operator,1150,3.101217285427525,4.255917424921661,0.4881099249338068
Normal,Normal-only HGB,43,Operator,1155,2.5199282390368496,3.484991671730194,0.7309703712896773
Normal,Normal-only HGB,44,Operator,1150,2.8634203106310276,4.64073112733159,0.5399424760062139
Normal,Normal-only HGB,45,Operator,1310,3.4899697720195673,4.275302637760199,-0.08652153535269025
Normal,Normal-only HGB,46,Operator,1150,0.6122492173357152,1.041297442374815,0.9909765417846017
Normal,Normal-only HGB,47,Operator,1140,1.5038292549931114,2.1412740880835295,0.9430785417382812
Normal,Normal-only HGB,48,Operator,1150,1.9346727335053246,2.4847334800397385,0.9591082390701661
Normal,Normal-only HGB,49,Operator,1160,1.2098720592348489,2.032466825150849,0.9376154269118016
Normal,Normal-only HGB,50,Operator,1150,0.9838643841245428,1.9070140547668417,0.9661005102358694
Normal,Normal-only HGB,51,Operator,1125,1.8342878514104304,2.4374987065190847,0.7856105585080881
Normal,Normal-only HGB,52,Operator,1150,0.7562272682532617,1.5586587446323454,0.9715871664202057
Normal,Normal-only HGB,53,Operator,965,0.6353555200810641,0.799066663460941,0.9937278653054895
Normal,Normal-only HGB,54,Operator,1150,0.9727183270788775,1.4048614973727727,0.975841395488879
Normal,Normal-only HGB,55,Operator,1120,0.679556640314539,0.9244562127080825,0.9912541212457272
Normal,Normal-only HGB,56,Operator,1150,0.6428381610801113,1.4591407847441578,0.9808473214450898
Normal,Normal-only HGB,57,Operator,1170,1.513484388946845,1.9763921014973391,0.9705853542530348
Normal,Normal-only HGB,58,Operator,1150,2.039323835138489,2.6304320411520496,0.9400266828937012
Normal,Normal-only HGB,59,Operator,1020,0.9384544326403543,1.5154591099200245,0.964346408417915
Normal,Normal-only HGB,60,Operator,1150,1.1446417953197274,1.3776035524603907,0.9755874659154887
Normal,Normal-only HGB,61,APC,1205,0.4019380023332232,0.630291420713053,0.9956883199380878
Normal,Normal-only HGB,62,APC,1150,0.7567822496207667,0.9557175869009112,0.9928014239918055
Normal,Normal-only HGB,63,APC,1150,0.2928387387890486,0.38670453876574956,0.9985638849612294
Normal,Normal-only HGB,64,APC,1150,0.6804227887000481,0.8460700182465516,0.9935375885857038
Normal,Normal-only HGB,65,APC,1155,0.5123021144028669,0.6868418107004968,0.9962221672656001
Normal,Normal-only HGB,66,APC,1150,1.2069074268744853,1.3961257031583871,0.9782881170428973
Normal,Normal-only HGB,67,APC,835,0.8652751084338205,1.1906449651977202,0.972645575933322
Normal,Normal-only HGB,68,APC,1150,0.8681590482270495,1.2835172074924945,0.9840761816723977
Normal,Normal-only HGB,69,APC,1125,0.5254913521123777,0.6756803410138208,0.9952543068372097
Normal,Normal-only HGB,70,APC,1150,0.925383828504339,1.3052633494451455,0.9813884354732589
Normal,Normal-only HGB,71,APC,1070,1.2611755374987645,1.7560753354957317,0.9760804695734848
Normal,Normal-only HGB,72,APC,1150,0.4871835413983085,0.74019150308537,0.9955625093992416
Normal,Normal-only HGB,73,APC,1180,0.6615734330532734,0.8529565517279308,0.9916276045562603
