Batch_ID,Rows,Median_Fault_Risk,Maximum_Fault_Risk,Fault_Warning_Rate,Median_OOD_Score,OOD_95pct_Score,OOD_Flag_Rate,Documented_Group,OOD_Threshold
1,1130,0.12042328997952101,0.8446450608772837,0.034513274336283185,0.4013563299412569,0.4815442122678094,0.0035398230088495575,Normal,0.6268293842323848
2,1150,0.19467890242374836,0.8431659429483949,0.1591304347826087,0.38760219884130037,0.4821027576133731,0.00608695652173913,Normal,0.6268293842323848
3,1390,0.04535260278527713,0.8834981891913327,0.022302158273381296,0.41967335301926945,0.5307302411027228,0.019424460431654675,Normal,0.6268293842323848
4,1150,0.3140168307800852,0.9421121842978016,0.33652173913043476,0.3934068196754594,0.5024330559824095,0.01391304347826087,Normal,0.6268293842323848
5,895,0.07323344444375691,0.6745353217132679,0.024581005586592177,0.3927117497369045,0.4913398243901237,0.0033519553072625698,Normal,0.6268293842323848
6,1150,0.07492144784534849,0.8529444042742799,0.021739130434782608,0.4192898811028425,0.5381831606788947,0.022608695652173914,Normal,0.6268293842323848
7,1160,0.07374932222216336,0.6039775927967823,0.010344827586206896,0.4268235323605185,0.6125819620867831,0.01896551724137931,Normal,0.6268293842323848
8,1150,0.08528989990385222,0.7100066770150542,0.0408695652173913,0.39261552704554276,0.47310277978212023,0.0034782608695652175,Normal,0.6268293842323848
9,1260,0.6495016882855318,0.9459275042850296,0.6031746031746031,0.41358647507899204,0.5345316107281118,0.011111111111111112,Normal,0.6268293842323848
10,1150,0.17317324436522952,0.838894788324948,0.28782608695652173,0.40175823640815983,0.5141084586754416,0.013043478260869565,Normal,0.6268293842323848
11,1010,0.09108033240919028,0.8970004928266968,0.06336633663366337,0.3926084117209092,0.48803733747653283,0.0039603960396039604,Normal,0.6268293842323848
12,1150,0.3980360519464657,0.8290480552881769,0.38173913043478264,0.3849714100322969,0.4841060848355101,0.004347826086956522,Normal,0.6268293842323848
13,1080,0.36307741872795307,0.826194053999047,0.3037037037037037,0.38186448397637174,0.5035590683160428,0.010185185185185186,Normal,0.6268293842323848
14,1150,0.26657735946381605,0.8217097516455878,0.15304347826086956,0.3711702461511327,0.48799684495139556,0.0034782608695652175,Normal,0.6268293842323848
15,905,0.15158899968844425,0.839834249213427,0.05966850828729282,0.39835004498731214,0.49448689375659577,0.0066298342541436465,Normal,0.6268293842323848
16,1150,0.09180535273484944,0.7622651337029913,0.01391304347826087,0.3909514952733265,0.5049669252839628,0.004347826086956522,Normal,0.6268293842323848
17,940,0.2141275710784476,0.8056135394241354,0.11170212765957446,0.39625430840278564,0.49225799599766135,0.007446808510638298,Normal,0.6268293842323848
18,1150,0.5743815564894351,0.9100511688365603,0.5382608695652173,0.3951497475646003,0.5271006642962537,0.02,Normal,0.6268293842323848
19,1035,0.3901354042819036,0.8704218728195892,0.3652173913043478,0.3909152864688631,0.4924396708013376,0.01352657004830918,Normal,0.6268293842323848
20,1150,0.30649160190702246,0.9590320078295179,0.1808695652173913,0.39156637880306067,0.5064810898655673,0.008695652173913044,Normal,0.6268293842323848
21,1140,0.4774180644523063,0.8813475834185561,0.47982456140350876,0.38889401007232305,0.4993824834712077,0.007017543859649123,Normal,0.6268293842323848
22,1150,0.16806521047475248,0.8580492922878623,0.0791304347826087,0.37994377296728554,0.4588093060441286,0.0026086956521739132,Normal,0.6268293842323848
23,1320,0.13243936080579455,0.7351884441081791,0.022727272727272728,0.3834848085956647,0.4612977410069886,0.0030303030303030303,Normal,0.6268293842323848
24,1150,0.42395754597290636,0.8564675531626492,0.4052173913043478,0.39729419496529084,0.5242269693867929,0.013043478260869565,Normal,0.6268293842323848
25,1305,0.3075931055562312,0.9407763103978856,0.2850574712643678,0.40384621053646935,0.5217621427211993,0.019157088122605363,Normal,0.6268293842323848
26,1150,0.24793138539724846,0.7956473649971475,0.14521739130434783,0.38927357407713475,0.4861916688523122,0.0034782608695652175,Normal,0.6268293842323848
27,1055,0.1760551102978756,0.9259415629116794,0.13744075829383887,0.39402193110917805,0.49985644852889954,0.01042654028436019,Normal,0.6268293842323848
28,1150,0.35227763711919174,0.8695329647796941,0.3626086956521739,0.38669504275231503,0.49217609186953315,0.011304347826086957,Normal,0.6268293842323848
29,1450,0.15588448780551928,0.8868808179369121,0.17862068965517242,0.3828495757983953,0.5042876019863644,0.004137931034482759,Normal,0.6268293842323848
30,1150,0.48896704328623364,0.9355148861018001,0.49391304347826087,0.4338873525253516,0.5317663744070577,0.017391304347826087,Normal,0.6268293842323848
31,1250,0.06110773349028462,0.8315049527846418,0.1712,0.38127352367604395,0.4909743215853896,0.0048,Normal,0.6268293842323848
32,1150,0.012605161742808246,0.9324444008998324,0.12,0.4094590935182957,0.528967417807184,0.02,Normal,0.6268293842323848
33,1300,0.015095651948657715,0.742272724394685,0.046153846153846156,0.41650142811805047,0.5402827093401146,0.012307692307692308,Normal,0.6268293842323848
34,1150,0.00945178055039013,0.8127046923575326,0.05478260869565217,0.39643632029007114,0.5447100234289531,0.02,Normal,0.6268293842323848
35,980,0.012529913418816704,0.789463694873468,0.05408163265306123,0.39881612052114296,0.5074432430478877,0.003061224489795918,Normal,0.6268293842323848
36,1150,0.08016847351588433,0.539168325612819,0.00608695652173913,0.4128805376882286,0.5086310673108582,0.01652173913043478,Normal,0.6268293842323848
37,1050,0.00862433247261113,0.9488196568266123,0.04666666666666667,0.3922188610317833,0.5256584851435961,0.011428571428571429,Normal,0.6268293842323848
38,1150,0.17386117690734737,0.7895135089100357,0.02782608695652174,0.3878742918499108,0.496174285892298,0.009565217391304347,Normal,0.6268293842323848
39,1175,0.006453938367030749,0.7364684996176022,0.01276595744680851,0.4182964483450758,0.5933569119515016,0.020425531914893616,Normal,0.6268293842323848
40,1150,0.017295592723244088,0.6031743057143125,0.006956521739130435,0.3928077163182492,0.5304875122812297,0.020869565217391306,Normal,0.6268293842323848
41,1215,0.012511947067010422,0.8008597024639236,0.04197530864197531,0.3841389721663279,0.49754384073089164,0.00905349794238683,Normal,0.6268293842323848
42,1150,0.020001526932723827,0.936620731034008,0.10434782608695652,0.39168636670119145,0.5417259428624331,0.02782608695652174,Normal,0.6268293842323848
43,1155,0.21166691431841142,0.7698466147787211,0.12554112554112554,0.41616420060953596,0.547906530209923,0.01904761904761905,Normal,0.6268293842323848
44,1150,0.03192156568421441,0.5875034102054265,0.0017391304347826088,0.4419958234164819,0.5469702318969102,0.025217391304347827,Normal,0.6268293842323848
45,1310,0.029401867778618175,0.8734087366461163,0.06412213740458016,0.4211694832838928,0.5780110425020406,0.017557251908396947,Normal,0.6268293842323848
46,1150,0.11223401793626941,0.845125805477898,0.08347826086956522,0.377105732823861,0.46160504720343787,0.0034782608695652175,Normal,0.6268293842323848
47,1140,0.15095290584221563,0.9283920442183357,0.12982456140350876,0.38999459151574356,0.4982032151855967,0.013157894736842105,Normal,0.6268293842323848
48,1150,0.006409698205280848,0.816191509747815,0.025217391304347827,0.39578720483168156,0.5010474156916015,0.004347826086956522,Normal,0.6268293842323848
49,1160,0.11507952006418136,0.847127478559413,0.1482758620689655,0.3935954993255093,0.5151237576379656,0.016379310344827588,Normal,0.6268293842323848
50,1150,0.03401826542483148,0.8479899751239556,0.17043478260869566,0.39629083418851996,0.5187211214067673,0.01217391304347826,Normal,0.6268293842323848
51,1125,0.05711268945270888,0.7343582547003773,0.013333333333333334,0.4106129417821874,0.5613263533425801,0.028444444444444446,Normal,0.6268293842323848
52,1150,0.010736034868928962,0.8176968711731494,0.050434782608695654,0.39349607934966957,0.5113933082583059,0.011304347826086957,Normal,0.6268293842323848
53,965,0.026456743240640564,0.3546626165402078,0.0,0.43133467740000153,0.5281191951553023,0.0062176165803108805,Normal,0.6268293842323848
54,1150,0.07303397524508295,0.7028603814848602,0.00608695652173913,0.39682650515305307,0.5148316044487109,0.01652173913043478,Normal,0.6268293842323848
55,1120,0.017180177385472065,0.9491042436493938,0.17232142857142857,0.40190661475072076,0.48376312220820794,0.005357142857142857,Normal,0.6268293842323848
56,1150,0.04971949394245265,0.7685330956152095,0.017391304347826087,0.3940465163339183,0.5055100109392117,0.010434782608695653,Normal,0.6268293842323848
57,1170,0.02424750479388204,0.7615849916747981,0.1111111111111111,0.3842067747050473,0.47362209058612076,0.003418803418803419,Normal,0.6268293842323848
58,1150,0.09175372525342079,0.7846326430960181,0.09130434782608696,0.3888635114245303,0.5020199903027308,0.006956521739130435,Normal,0.6268293842323848
59,1020,0.1019503477028055,0.8410118356652234,0.14901960784313725,0.4034067171775969,0.5042373657329975,0.018627450980392157,Normal,0.6268293842323848
60,1150,0.05787181398848864,0.9118319123047579,0.07478260869565218,0.3905774815554779,0.5387637163543031,0.021739130434782608,Normal,0.6268293842323848
61,1205,0.007082821401033416,0.7544550284808695,0.005809128630705394,0.3915447690501738,0.5032827468533497,0.0033195020746887966,Normal,0.6268293842323848
