Condition,Model,Rows,Batches,MAE,RMSE,R2
Normal,Normal-only HGB,102410,90,1.2095119066243192,1.980606320446936,0.9607224778725368
Normal,Fault-aware HGB,102410,90,1.2063322120957327,1.9829756428510372,0.9606284493168463
Fault,Normal-only HGB,11525,10,2.076290360969141,3.194581644243721,0.8580417500570863
Fault,Fault-aware HGB,11525,10,1.4405358221652467,2.564362417608676,0.9085273081425153
