Fault_Phase,Rows,Batches,MAE,RMSE,R2,Mean_Batch_MAE,Mean_Batch_RMSE,Median_Batch_R2,Mean_Batch_MAE_Bootstrap_95_Lower,Mean_Batch_MAE_Bootstrap_95_Upper
Before fault,2090,10,0.1118619364438762,0.21204739643889448,0.9949552937288011,0.06109606084782734,0.09022507065421236,0.9066730545045691,0.014404516004073586,0.12148032750106362
During fault window,5255,10,2.1700257418071534,3.5846350883026807,0.7010320151843504,1.4852294870190186,1.8632167163764948,0.9020160041032121,0.649002986894389,2.6334384533721575
After fault,4180,9,4.707850737791529,5.942939723339001,0.5322063103354626,4.721079746679082,5.151992297435173,-4.6009177827192085,2.7670483957521825,6.896941698166429
