Model,Normal_RMSE,Fault_RMSE,Fault_to_Normal_RMSE_Ratio,Normal_R2,Fault_R2,R2_Drop_Normal_to_Fault
Dummy Median,9.64669775373615,9.91607443948632,1.0279242381825262,-0.04900905437715575,-0.36776727789663455,0.3187582235194788
Linear Regression,3.3548973121917895,5.448031531951528,1.6239041094203481,0.8731237433071679,0.5871313778514111,0.2859923654557568
Random Forest,2.1813250775359747,4.320965353991895,1.9808901472277842,0.9463632224370226,0.7402866817309881,0.20607654070603454
HistGradientBoosting,2.0300221206159117,4.18990974289224,2.063972456428709,0.9535459659195233,0.7558020643395506,0.1977439015799728
