Variant,Dataset,Batch_ID,Rows,MAE,RMSE,R2
All features,Normal Test,2,1150,0.7856668858685489,1.1419465917446165,0.9885945324169058
All features,Normal Test,5,895,0.35074503242989474,0.5000763684986236,0.9972352065534864
All features,Normal Test,9,1260,3.46307583439286,4.314718078057462,0.13482061350238772
All features,Normal Test,14,1150,0.8251510974207149,1.1998036960354206,0.9854149024887364
All features,Normal Test,28,1150,1.097101920523302,1.8696710144578752,0.9558230069505179
All features,Normal Test,34,1150,1.1298267616053908,1.7116669290934627,0.9474176028563788
All features,Normal Test,45,1310,3.48383938274357,4.420162326122666,-0.16139793769561028
All features,Normal Test,46,1150,0.5109109226586334,0.8117662719154273,0.9945161519327369
All features,Normal Test,47,1140,1.4184392613158723,2.261030742347983,0.9365335174866188
All features,Normal Test,60,1150,1.53825199510532,2.04392177681739,0.9462605897251607
All features,Normal Test,66,1150,0.977981390428335,1.1984790781686507,0.9840003914320264
All features,Normal Test,69,1125,0.49151591498223823,0.6432266305118406,0.9956992408538199
All features,Normal Test,71,1070,1.1629689108626504,1.6882847743479752,0.9778915767147837
All features,Normal Test,77,1025,0.5000296455946328,0.8057714290901971,0.992940375391411
All features,Normal Test,83,1205,1.2943491395927977,1.8269970108876272,0.962108091569052
All features,Fault Test,91,1290,5.756419089363168,7.0406300697104705,-7.1623378565770075
All features,Fault Test,92,1150,0.7502685338276763,1.2156082857662727,0.9789502815729882
All features,Fault Test,93,1050,1.1083849694905967,1.5200643129434306,0.9801093475254035
All features,Fault Test,94,1150,3.573084605953382,4.817562145134538,-0.5045641184124787
All features,Fault Test,95,1055,3.185070338163093,4.455430424456827,-0.5368897875326584
All features,Fault Test,96,1150,1.2786718779608608,2.3192669732624815,0.9420967993279472
All features,Fault Test,97,1125,1.2128935707966306,1.63886490487108,0.9611195848522065
All features,Fault Test,98,1150,1.2724228313222332,2.0677995547487376,0.9676851719124306
All features,Fault Test,99,1255,2.969055612982692,3.9806792641394693,0.016356926934938842
All features,Fault Test,100,1150,5.539107536055605,7.548954946468226,-3.515059058199345
Minus Time,Normal Test,2,1150,0.7987321925669415,1.164436038691427,0.9881408712104509
Minus Time,Normal Test,5,895,0.3546145934625068,0.5071831109637137,0.9971560654742898
Minus Time,Normal Test,9,1260,3.53455555619154,4.435336466728754,0.08577212849707339
Minus Time,Normal Test,14,1150,0.8534415997650728,1.2672760891598331,0.9837283562401558
Minus Time,Normal Test,28,1150,1.0178346599084325,1.7657052200651924,0.9605994609718567
Minus Time,Normal Test,34,1150,1.1975000383070677,1.826641629161756,0.9401163086357305
Minus Time,Normal Test,45,1310,3.482757258252931,4.4029409728189,-0.15236574376831968
Minus Time,Normal Test,46,1150,0.5644261075838279,1.1518342338788057,0.9889591280636812
Minus Time,Normal Test,47,1140,1.3783183363607,2.247636581875001,0.9372832307326701
Minus Time,Normal Test,60,1150,1.4394906065434687,1.7804683066849913,0.9592213495062958
Minus Time,Normal Test,66,1150,0.9912381098730918,1.209824456691977,0.9836960376821036
Minus Time,Normal Test,69,1125,0.510193021060526,0.6684698133404621,0.9953550537908109
Minus Time,Normal Test,71,1070,1.1627710883095377,1.6965766119647243,0.9776738769096395
Minus Time,Normal Test,77,1025,0.4849684301573209,0.804628106497053,0.9929603952175811
Minus Time,Normal Test,83,1205,1.2649688139421982,1.7864787632003043,0.9637701512253531
Minus Time,Fault Test,91,1290,5.0852126704317175,6.444063886027177,-5.837718061027341
Minus Time,Fault Test,92,1150,0.6868357121672111,1.09695315557704,0.9828590396158223
Minus Time,Fault Test,93,1050,1.1348836401004287,1.5527098568308348,0.9792458131006292
Minus Time,Fault Test,94,1150,3.6367534972699413,4.907891872240918,-0.5615144991780383
Minus Time,Fault Test,95,1055,3.2697630767101797,4.265851926675764,-0.40888305352676646
Minus Time,Fault Test,96,1150,1.213232222505743,2.117304493579888,0.9517421774880181
Minus Time,Fault Test,97,1125,1.1972353266995341,1.6836799242398377,0.9589641295523603
Minus Time,Fault Test,98,1150,1.2679107597100019,2.109151592079846,0.9663797789050954
Minus Time,Fault Test,99,1255,2.9595374188904424,3.9818117480573094,0.01579716396720754
Minus Time,Fault Test,100,1150,5.677773647393949,7.774348811519061,-3.7887020123205692
Minus cumulative feed,Normal Test,2,1150,0.8456868713410662,1.2228000581400118,0.9869222686806178
Minus cumulative feed,Normal Test,5,895,0.36305174072192675,0.5144126965155597,0.9970744105217966
Minus cumulative feed,Normal Test,9,1260,3.4476522526595237,4.298494961339929,0.14131444173164387
Minus cumulative feed,Normal Test,14,1150,0.8171502540290674,1.2050500437038285,0.9852870719316242
Minus cumulative feed,Normal Test,28,1150,1.0941095143647817,1.91683970305292,0.9535658656168622
Minus cumulative feed,Normal Test,34,1150,1.259489556774387,2.035751435668112,0.9256208243265795
Minus cumulative feed,Normal Test,45,1310,3.4563752482688863,4.38053690506167,-0.1406681104807055
Minus cumulative feed,Normal Test,46,1150,0.5513963812944584,0.8835125633053501,0.9935039573576377
Minus cumulative feed,Normal Test,47,1140,1.4808737516737704,2.2330516140060577,0.9380945311405877
Minus cumulative feed,Normal Test,60,1150,1.5569962955354277,2.1181275472453436,0.9422876748878506
Minus cumulative feed,Normal Test,66,1150,0.9598559345504251,1.192710328054805,0.98415404553045
Minus cumulative feed,Normal Test,69,1125,0.5475888589338859,0.717055837106409,0.9946553036135389
Minus cumulative feed,Normal Test,71,1070,1.1916217721477675,1.7351312094404057,0.9766476276871674
Minus cumulative feed,Normal Test,77,1025,0.5328208468259988,0.8473881973625289,0.9921923074857759
Minus cumulative feed,Normal Test,83,1205,1.3710856217025988,1.9781872439991521,0.9555772336867613
Minus cumulative feed,Fault Test,91,1290,5.945602624885888,6.988771441154854,-7.042539272016761
Minus cumulative feed,Fault Test,92,1150,0.8050320539705259,1.288605119327913,0.976346321352742
Minus cumulative feed,Fault Test,93,1050,1.0960625413425016,1.4568940582432506,0.981728212001224
Minus cumulative feed,Fault Test,94,1150,3.5648340366084614,4.802787971887156,-0.4953500779676374
Minus cumulative feed,Fault Test,95,1055,3.426853846253721,4.405400451040149,-0.502568141190388
Minus cumulative feed,Fault Test,96,1150,1.3202742171622914,2.308847221008022,0.9426159130901862
Minus cumulative feed,Fault Test,97,1125,2.3005019269980633,2.721241142376182,0.8928039852284295
Minus cumulative feed,Fault Test,98,1150,1.3899225982435626,2.365240027050156,0.9577199575335879
Minus cumulative feed,Fault Test,99,1255,2.978187437642512,3.986838487653719,0.013310630450318328
Minus cumulative feed,Fault Test,100,1150,5.4884624238932975,7.492580778431523,-3.4478756404117705
Minus Time and cumulative feed,Normal Test,2,1150,0.8026073207881461,1.3169834080703622,0.9848301210144965
Minus Time and cumulative feed,Normal Test,5,895,0.4374243332428522,0.6001068700336976,0.9960184953765854
Minus Time and cumulative feed,Normal Test,9,1260,3.7416957186770388,4.664258366529003,-0.011035751967658936
Minus Time and cumulative feed,Normal Test,14,1150,0.7980726998079746,1.2495981737915074,0.9841791537581981
Minus Time and cumulative feed,Normal Test,28,1150,1.0929323486415372,1.7947831720371146,0.9592910651441637
Minus Time and cumulative feed,Normal Test,34,1150,1.613693825027619,2.693507842037892,0.8697917955737555
Minus Time and cumulative feed,Normal Test,45,1310,3.6140551651073265,4.5637732257185215,-0.23809145285232525
Minus Time and cumulative feed,Normal Test,46,1150,0.9365441892004462,1.8016468996683341,0.9729876252860323
Minus Time and cumulative feed,Normal Test,47,1140,1.4721497212519394,2.2199663558912515,0.9388179140368542
Minus Time and cumulative feed,Normal Test,60,1150,1.8648263908663114,2.461988116629759,0.9220284335431568
Minus Time and cumulative feed,Normal Test,66,1150,1.0685332459515562,1.3935572881404137,0.978367929098969
Minus Time and cumulative feed,Normal Test,69,1125,0.839807693125928,1.2311959738848892,0.9842430752187289
Minus Time and cumulative feed,Normal Test,71,1070,1.2253001693078847,1.8392051884136604,0.9737622415175801
Minus Time and cumulative feed,Normal Test,77,1025,0.6842588592969356,1.1615713704526776,0.9853293391092223
Minus Time and cumulative feed,Normal Test,83,1205,1.3549473922650404,1.978220797919294,0.9555757266801832
Minus Time and cumulative feed,Fault Test,91,1290,5.5464821928300365,6.6672813299163725,-6.31962912578184
Minus Time and cumulative feed,Fault Test,92,1150,0.7593349908851685,1.1723168717943362,0.9804228702928278
Minus Time and cumulative feed,Fault Test,93,1050,1.5778922881570834,2.2572487396989493,0.9561384533370355
Minus Time and cumulative feed,Fault Test,94,1150,3.585736434995809,4.8150043566567575,-0.5029669059443713
Minus Time and cumulative feed,Fault Test,95,1055,3.6525598484094606,4.646943023089218,-0.6718529951002057
Minus Time and cumulative feed,Fault Test,96,1150,1.4496180832921703,2.2497827028452013,0.945514338215321
Minus Time and cumulative feed,Fault Test,97,1125,1.7903498728412357,2.244535154773772,0.9270714788850295
Minus Time and cumulative feed,Fault Test,98,1150,1.4256465307727662,2.5492477412864574,0.9508855753075497
Minus Time and cumulative feed,Fault Test,99,1255,3.1606772805770555,4.11434342928331,-0.05081011553258841
Minus Time and cumulative feed,Fault Test,100,1150,6.006347465876449,7.9100464085837245,-3.9573300177067248
