Variant,Dataset,Number_of_Features,MAE,RMSE,R2,Mean_Batch_MAE,Mean_Batch_RMSE,Median_Batch_R2,Negative_Batch_R2_Count,All_Features_RMSE,RMSE_Percent_Change_vs_All
All features,Normal Test,36,1.324497691055479,2.1785730809296093,0.9464984751958428,1.2686569397016505,1.7625015145398142,0.9778915767147837,1,2.1785730809296093,0.0
All features,Fault Test,36,2.71723147976858,4.321666494368794,0.7402023902577742,2.664537896591594,3.660486088150153,0.479226863131443,4,4.321666494368794,0.0
Minus Time,Normal Test,35,1.3253038677013353,2.190395845274689,0.9459162112722076,1.2690540274856772,1.7810290934481927,0.9776738769096395,1,2.1785730809296093,0.5426838534163303
Minus Time,Fault Test,35,2.6565850872919707,4.240567833469386,0.7498614187102871,2.6129137971879146,3.593376726682768,0.48376967072761284,4,4.321666494368794,-1.876559910513246
Minus cumulative feed,Normal Test,35,1.353734229049036,2.2132439420994463,0.9447820267637926,1.2983836600549314,1.8186033562668056,0.9766476276871674,1,2.1785730809296093,1.591448158123882
Minus cumulative feed,Fault Test,35,2.882040598159144,4.3646155477579045,0.7350129540709516,2.8315733707000823,3.7817206698172923,0.4530573078393739,4,4.321666494368794,0.9938076768550628
Minus Time and cumulative feed,Normal Test,34,1.4937012663942737,2.429750676423891,0.9334504203058507,1.4364566048372358,2.0646908699478916,0.9729876252860323,2,2.1785730809296093,11.529454655113188
Minus Time and cumulative feed,Fault Test,34,2.937672815371278,4.427075475151251,0.7273744811263927,2.8954644988637233,3.8626749757928094,0.43813068167622055,5,4.321666494368794,2.4390817967977507
