Horizon_h,Summary_Features_Before_PCA,PCA_Components,PCA_Explained_Variance,Training_95pct_Threshold
12,105,14,0.958189615610289,0.5162548053476638
24,105,15,0.9592916202094847,0.5264187472635465
48,105,16,0.9591274369221319,0.5109296954384425
72,105,15,0.9531197922101581,0.5662293397312939
