Horizon_h,Set,Batches,Flagged_Batches,OOD_Flag_Rate,Median_OOD_Score,Mean_OOD_Excess
12,Fault test,10,2,0.2,0.43995139079446055,-0.059093741065149065
12,Normal test,15,0,0.0,0.45844014409713874,-0.06251555643896364
24,Fault test,10,6,0.6,0.5804035122080267,0.020418839701162123
24,Normal test,15,2,0.13333333333333333,0.4330531983465176,-0.06426618252782612
48,Fault test,10,6,0.6,0.5191809322319941,0.009897555829622684
48,Normal test,15,1,0.06666666666666667,0.43027094186904624,-0.059547700648695495
72,Fault test,10,4,0.4,0.49089333799657886,-0.05555255335658447
72,Normal test,15,0,0.0,0.4264747658292068,-0.12800847944237193
