Dataset,MAE,RMSE,R2,Target_Coverage,Empirical_Coverage,Mean_Interval_Width,Median_Interval_Width,Mean_Tree_SD
Normal Test,1.3911352711033347,2.2352252155394026,0.9436797635186027,0.9,0.8489461358313818,5.033802962547437,3.743960592532054,1.0687853991587417
Fault Test,2.679743585360732,4.235153034989966,0.7504998168264728,0.9,0.70412147505423,5.200022661759603,4.283593630736871,1.1068756097745898
