Batch_ID,Dataset,MAE,RMSE,R2,Empirical_Coverage,Mean_Interval_Width,Mean_Tree_SD,Mean_Absolute_Error,Set,OOD_Score,Training_95pct_Threshold,OOD_Excess_Above_Threshold,OOD_Flag
2,Normal Test,0.8101123218952013,1.1961484749598454,0.987486128502487,0.9991304347826087,5.437797649336082,1.1613631308018546,0.8101123218952013,Normal test,0.5902141930089724,0.5264187472635465,0.06379544574542584,True
5,Normal Test,0.37905418529515983,0.4983138672262135,0.9972546610408464,0.9418994413407821,3.1768057901332654,0.6432436989538609,0.37905418529515983,Normal test,0.4330531983465176,0.5264187472635465,-0.09336554891702892,False
9,Normal Test,3.3956544303042824,4.245634495953271,0.16230384623110927,0.38333333333333336,4.098196016938315,0.8543856271653343,3.3956544303042824,Normal test,0.4878217936738849,0.5264187472635465,-0.03859695358966164,False
14,Normal Test,0.8552823120037029,1.213715969784526,0.9850746996739432,0.9982608695652174,4.680136492234656,0.9877406709717281,0.8552823120037029,Normal test,0.4263561749937375,0.5264187472635465,-0.10006257226980902,False
28,Normal Test,1.3816727676069533,2.401961859704869,0.9270881738827341,0.9626086956521739,5.47160960558637,1.1691113371878101,1.3816727676069533,Normal test,0.43089876559536966,0.5264187472635465,-0.09551998166817688,False
34,Normal Test,0.858274622022716,1.1773598429471548,0.9751217229873121,0.9704347826086956,7.457182635978659,1.6241169428967468,0.858274622022716,Normal test,0.5481908176018612,0.5264187472635465,0.02177207033831463,True
45,Normal Test,3.3826082597336136,4.2319070160293,-0.06457643031641114,0.4030534351145038,4.352394810304586,0.912636758791175,3.3826082597336136,Normal test,0.42874019833451993,0.5264187472635465,-0.09767854892902661,False
46,Normal Test,0.4405273473000388,0.807443554080844,0.9945744002557971,0.9930434782608696,4.677808793162484,0.9872072651941363,0.4405273473000388,Normal test,0.3999521174217595,0.5264187472635465,-0.12646662984178703,False
47,Normal Test,1.3021016477403178,2.1143757799549587,0.9444996342407316,0.8719298245614036,8.417059469916907,1.8440783009263537,1.3021016477403178,Normal test,0.3935975705497158,0.5264187472635465,-0.13282117671383076,False
60,Normal Test,2.1671072260459017,2.848781322894126,0.8956043070622584,0.7304347826086957,6.736955934922232,1.4590728063447995,2.1671072260459017,Normal test,0.5084356373054992,0.5264187472635465,-0.017983109958047305,False
66,Normal Test,1.4244586820870249,1.7456024794487721,0.9660578659722749,0.7956521739130434,4.656538175169853,0.9823329793958302,1.4244586820870249,Normal test,0.4215885943712971,0.5264187472635465,-0.10483015289224945,False
69,Normal Test,0.5831119436598724,0.7783828611142357,0.9937019860512021,1.0,4.483988857932961,0.9427923000038847,0.5831119436598724,Normal test,0.4197587808351983,0.5264187472635465,-0.10665996642834824,False
71,Normal Test,1.0460910642178523,1.5412046402856823,0.9815758704337758,0.9616822429906542,3.7397897420731585,0.7722547452039262,1.0460910642178523,Normal test,0.5123969284242312,0.5264187472635465,-0.014021818839315303,False
77,Normal Test,0.6011281126940883,0.9380649446606081,0.9904319443316156,0.9424390243902439,3.0621766166419024,0.6169757572977195,0.6011281126940883,Normal test,0.47149333940205584,0.5264187472635465,-0.054925407861490694,False
83,Normal Test,1.417157171866998,1.9460921064256,0.9570070161375817,0.9253112033195021,4.5666176257217295,0.9617271626159558,1.417157171866998,Normal test,0.45979036117118616,0.5264187472635465,-0.06662838609236038,False
91,Fault Test,5.509463770065772,6.694681273906446,-6.3799144279330955,0.3643410852713178,5.675017838253814,1.2157235164904017,5.509463770065772,Fault test,0.5863390200150989,0.5264187472635465,0.05992027275155232,True
92,Fault Test,0.7595531401201904,1.228625268553737,0.9784970584908016,0.9878260869565217,6.195120075285632,1.3349079684188605,0.7595531401201904,Fault test,0.489016063845638,0.5264187472635465,-0.03740268341790853,False
93,Fault Test,1.2568513023363224,1.5864710452571356,0.9783334679398398,0.8276190476190476,3.739350225569866,0.7721540274414774,1.2568513023363224,Fault test,0.4820001450982982,0.5264187472635465,-0.044418602165248344,False
94,Fault Test,3.5617938062501144,4.764472113826422,-0.4715859334258745,0.5382608695652173,3.926320012015347,0.8149992412053294,3.5617938062501144,Fault test,0.6192436052814272,0.5264187472635465,0.09282485801788065,True
95,Fault Test,3.079053662539567,4.293509513873182,-0.42721122117381327,0.5251184834123223,4.281610302523782,0.896416077232436,3.079053662539567,Fault test,0.5836256422496009,0.5264187472635465,0.05720689498605436,True
96,Fault Test,1.3303068205768374,2.546616062539047,0.9301883293122438,0.9165217391304348,5.525115870043723,1.1813726088187158,1.3303068205768374,Fault test,0.4078259885531577,0.5264187472635465,-0.11859275871038882,False
97,Fault Test,1.2723353449476615,1.7484107236700779,0.9557481424118329,0.9768888888888889,7.968546187948927,1.7412988743292743,1.2723353449476615,Fault test,0.5771813821664524,0.5264187472635465,0.05076263490290589,True
98,Fault Test,1.3858946591232952,2.609866026687556,0.9485220311094826,0.9834782608695652,5.915976974789578,1.2709407037670115,1.3858946591232952,Fault test,0.4893999886580665,0.5264187472635465,-0.03701875860548004,False
99,Fault Test,2.6506793292520383,3.458584731677231,0.257459741803407,0.5243027888446216,4.309830882207734,0.9028829871652415,2.6506793292520383,Fault test,0.596772656576202,0.5264187472635465,0.0703539093126555,True
100,Fault Test,5.528330926266762,7.531263423428995,-3.4939211201249254,0.45652173913043476,4.3440925816116485,0.910734254810036,5.528330926266762,Fault test,0.6369713772031448,0.5264187472635465,0.11055262993959825,True
